voltage,time
-0.12,-0.0014
-0.08,-0.0013998
-0.1,-0.0013996
-0.08,-0.0013994
-0.12,-0.0013992
-0.12,-0.001399
-0.1,-0.0013988
-0.1,-0.0013986
-0.1,-0.0013984
-0.08,-0.0013982
-0.08,-0.001398
-0.08,-0.0013978
-0.06,-0.0013976
-0.06,-0.0013974
-0.08,-0.0013972
-0.06,-0.001397
-0.06,-0.0013968
-0.08,-0.0013966
-0.06,-0.0013964
-0.06,-0.0013962
-0.04,-0.001396
-0.04,-0.0013958
-0.04,-0.0013956
-0.06,-0.0013954
-0.04,-0.0013952
-0.04,-0.001395
-0.04,-0.0013948
-0.04,-0.0013946
-0.04,-0.0013944
-0.06,-0.0013942
-0.06,-0.001394
-0.04,-0.0013938
-0.02,-0.0013936
-0.02,-0.0013934
-0.04,-0.0013932
-0.04,-0.001393
-0.04,-0.0013928
-0.02,-0.0013926
-0.02,-0.0013924
-0.02,-0.0013922
0,-0.001392
-0.02,-0.0013918
0,-0.0013916
0,-0.0013914
0,-0.0013912
0,-0.001391
0,-0.0013908
0,-0.0013906
0,-0.0013904
0.02,-0.0013902
0.02,-0.00139
0.02,-0.0013898
0.02,-0.0013896
0.02,-0.0013894
0.04,-0.0013892
0,-0.001389
0.02,-0.0013888
0.04,-0.0013886
0.02,-0.0013884
0.04,-0.0013882
0.02,-0.001388
0.02,-0.0013878
0.04,-0.0013876
0.04,-0.0013874
0.04,-0.0013872
0.04,-0.001387
0.02,-0.0013868
0.02,-0.0013866
0.06,-0.0013864
0.02,-0.0013862
0.04,-0.001386
0.06,-0.0013858
0.06,-0.0013856
0.08,-0.0013854
0.06,-0.0013852
0.08,-0.001385
0.08,-0.0013848
0.08,-0.0013846
0.08,-0.0013844
0.06,-0.0013842
0.06,-0.001384
0.08,-0.0013838
0.06,-0.0013836
0.08,-0.0013834
0.08,-0.0013832
0.08,-0.001383
0.08,-0.0013828
0.08,-0.0013826
0.1,-0.0013824
0.08,-0.0013822
0.08,-0.001382
0.08,-0.0013818
0.1,-0.0013816
0.12,-0.0013814
0.12,-0.0013812
0.12,-0.001381
0.1,-0.0013808
0.12,-0.0013806
0.12,-0.0013804
0.12,-0.0013802
0.12,-0.00138
0.12,-0.0013798
0.12,-0.0013796
0.12,-0.0013794
0.12,-0.0013792
0.14,-0.001379
0.12,-0.0013788
0.14,-0.0013786
0.14,-0.0013784
0.14,-0.0013782
0.14,-0.001378
0.14,-0.0013778
0.12,-0.0013776
0.14,-0.0013774
0.14,-0.0013772
0.16,-0.001377
0.16,-0.0013768
0.16,-0.0013766
0.16,-0.0013764
0.18,-0.0013762
0.16,-0.001376
0.16,-0.0013758
0.16,-0.0013756
0.16,-0.0013754
0.16,-0.0013752
0.16,-0.001375
0.16,-0.0013748
0.18,-0.0013746
0.18,-0.0013744
0.18,-0.0013742
0.2,-0.001374
0.18,-0.0013738
0.2,-0.0013736
0.18,-0.0013734
0.18,-0.0013732
0.18,-0.001373
0.2,-0.0013728
0.2,-0.0013726
0.18,-0.0013724
0.18,-0.0013722
0.18,-0.001372
0.2,-0.0013718
0.18,-0.0013716
0.2,-0.0013714
0.22,-0.0013712
0.22,-0.001371
0.22,-0.0013708
0.24,-0.0013706
0.22,-0.0013704
0.22,-0.0013702
0.2,-0.00137
0.22,-0.0013698
0.2,-0.0013696
0.24,-0.0013694
0.24,-0.0013692
0.22,-0.001369
0.24,-0.0013688
0.24,-0.0013686
0.24,-0.0013684
0.24,-0.0013682
0.24,-0.001368
0.26,-0.0013678
0.24,-0.0013676
0.24,-0.0013674
0.26,-0.0013672
0.26,-0.001367
